,City,Date,lat,lon,AQI,CO,NO,NO2,O3,SO2,PM25,PM10,NH3,Population,Year,Month,Day,Hour,Minute
100,Georgetown,1626958800,39.7181,-105.6942,2,191.93,0.01,0.86,43.27,0.14,10.16,10.6,0.15,"1,112",2021,7,22,13,0
101,Gilcrest,1626958800,40.2842,-104.7819,1,240.33,0.3,7.28,11.62,0.14,8.3,9.01,3.86,"1,106",2021,7,22,13,0
102,Glendale,1626958800,39.7036,-104.9353,2,327.11,4.41,23.31,5.72,1.83,11.47,12.41,1.31,"5,141",2021,7,22,13,0
103,Glenwood Springs,1626958800,39.5456,-107.3347,1,170.23,0.15,4.5,10.46,0.01,4.4,4.83,1.25,"9,930",2021,7,22,13,0
104,Golden,1626958800,39.7406,-105.2119,1,213.62,0.01,1.36,46.49,0.11,8.01,8.53,0.23,"20,767",2021,7,22,13,0
105,Granada,1626958800,38.0631,-102.3117,1,196.93,0.01,0.91,71.53,0.17,6.42,6.5,2.09,503,2021,7,22,13,0
106,Granby,1626958800,40.0647,-105.9194,1,160.22,0.24,2.79,4.6,0.01,4.57,4.92,0.07,"2,139",2021,7,22,13,0
107,Grand Junction,1626958800,39.0878,-108.5675,1,233.65,0.0,1.41,48.64,0.31,2.72,3.29,1.82,"63,597",2021,7,22,13,0
108,Grand Lake,1626958800,40.2503,-105.8231,1,170.23,0.01,1.01,22.89,0.11,4.49,4.8,0.73,506,2021,7,22,13,0
109,Greeley,1626958800,40.415,-104.7706,1,230.31,0.08,4.16,19.67,0.16,7.35,7.84,3.52,"108,649",2021,7,22,13,0
110,Green Mountain Falls,1626958800,38.9344,-105.0239,2,220.3,0.01,1.09,41.49,0.26,15.44,16.39,0.21,722,2021,7,22,13,0
111,Greenwood Village,1626958800,39.6153,-104.9131,2,327.11,4.41,23.31,5.72,1.83,11.47,12.41,1.31,"15,735",2021,7,22,13,0
112,Grover,1626958800,40.8692,-104.2258,1,236.99,0.09,3.21,28.97,0.41,8.81,9.17,2.82,153,2021,7,22,13,0
113,Gunnison,1626958800,38.5481,-106.9247,1,160.22,0.07,1.13,6.88,0.0,4.25,4.36,0.23,"6,640",2021,7,22,13,0
114,Gypsum,1626958800,39.6286,-106.935,1,135.18,0.16,2.46,6.17,0.01,3.6,3.95,0.62,"7,375",2021,7,22,13,0
115,Hartman,1626958800,38.1211,-102.2217,1,196.93,0.01,0.91,71.53,0.17,6.42,6.5,2.09,75,2021,7,22,13,0
116,Haswell,1626958800,38.4525,-103.165,1,186.92,0.01,1.05,63.66,0.19,6.8,9.41,1.85,68,2021,7,22,13,0
117,Haxtun,1626958800,40.6419,-102.6297,1,195.27,0.04,1.84,50.78,0.06,5.88,6.04,2.82,904,2021,7,22,13,0
